Year, Paper Count
2022,103173
2021,8355698
2020,12999025
2019,12164270
2018,11927349
2017,11532502
2016,11894571
2015,11802368
2014,11456218
2013,11173104
2012,10442272
2011,9756066
2010,9077264
2009,8377296
2008,7789645
2007,7191605
2006,6749228
2005,6234521
2004,5774362
2003,5318235
2002,4988453
2001,4621788
2000,4316501
1999,3893156
1998,3648395
1997,3418426
1996,3205278
1995,3010814
1994,2878101
1993,2662594
1992,2644002
1991,2485885
1990,2458387
1989,2283813
1988,2161439
1987,2049427
1986,1944858
1985,1832479
1984,1737304
1983,1669639
1982,1609130
1981,1551872
1980,1545573
1979,1410799
1978,1339247
1977,1264551
1976,1128588
1975,1035246
1974,988162
1973,988949
1972,920673
1971,910081
1970,981074
1969,863650
1968,791988
1967,735594
1966,686247
1965,648975
1964,589412
1963,542421
1962,506136
1961,490996
1960,497155
1959,438663
1958,413338
1957,397042
1956,366337
1955,354526
1954,350380
1953,349939
1952,328365
1951,307897
1950,278811
1949,220015
1948,202540
1947,178305
1946,154144
1945,122697
1944,112394
1943,124288
1942,130452
1941,137194
1940,171750
1939,155461
1938,152915
1937,147143
1936,150792
1935,148641
1934,145906
1933,144696
1932,151102
1931,151683
1930,155742
1929,142173
1928,132109
1927,127934
1926,122355
1925,116051
1924,111606
1923,103464
1922,101149
1921,95679
1920,89393
1919,76652
1918,69903
1917,73300
1916,76940
1915,84243
1914,98789
1913,105345
1912,102837
1911,98937
1910,97554
1909,93444
1908,89454
1907,86287
1906,83915
1905,83593
1904,78833
1903,81376
1902,71141
1901,66400
1900,69280
1899,62855
1898,51842
1897,49761
1896,45057
1895,43269
1894,39095
1893,31479
1892,28083
1891,27462
1890,27022
1889,26637
1888,26367
1887,26668
1886,25152
1885,23753
1884,23310
1883,22957
1882,20767
1881,20251
1880,22230
1879,18591
1878,18039
1877,16884
1876,15988
1875,16795
1874,14867
1873,14978
1872,13884
1871,11585
1870,13680
1869,11415
1868,10725
1867,10451
1866,10455
1865,9846
1864,10280
1863,10337
1862,10004
1861,9222
1860,10523
1859,9735
1858,10460
1857,10392
1856,8865
1855,9352
1854,8435
1853,8363
1852,7601
1851,8379
1850,8026
1849,6165
1848,6522
1847,5422
1846,5957
1845,5685
1844,5420
1843,5491
1842,5649
1841,4869
1840,5370
1839,4477
1838,4126
1837,4522
1836,4305
1835,4211
1834,3640
1833,3106
1832,2989
1831,2987
1830,3683
1829,3077
1828,3026
1827,2977
1826,2412
1825,2365
1824,2328
1823,2087
1822,2171
1821,2327
1820,2166
1819,1730
1818,1825
1817,1777
1816,1874
1815,2399
1814,1680
1813,1742
1812,1795
1811,1704
1810,1658
1809,1705
1808,1646
1807,1346
1806,1698
1805,1493
1804,1704
1803,1715
1802,1792
1801,2282
1800,5840
null,13614
